Place,Competitor,DOB,Nationality,Score,Date,ResultScore,City
1750,Roger SANS,13 Mar 1995,ESP,913, 03 DEC 2023,877, Valencia
1750,Roger SANS,13 Mar 1995,ESP,913, 08 JUL 2023,999, Complex Esportiu L’Hospitalet Nord
1750,Roger SANS,13 Mar 1995,ESP,913, 11 JUN 2023,967, Estadio Los Pajaritos
1750,Roger SANS,13 Mar 1995,ESP,913, 06 MAY 2023,952, Estadio de Atletismo del Turia
1750,Roger SANS,13 Mar 1995,ESP,913, 02 APR 2023,760, Berlin
1750,Roger SANS,13 Mar 1995,ESP,913, 19 FEB 2023,901, Barcelona
1750,Roger SANS,13 Mar 1995,ESP,913, 15 JAN 2023,854, Valencia
1751,Luis Miguel SÁNCHEZ,16 Jan 1985,ESP,913, 14 MAY 2023,888, Santander
1751,Luis Miguel SÁNCHEZ,16 Jan 1985,ESP,913, 15 APR 2023,821, Huelva
1752,Alexander WALLACE,,GBR,913, 29 OCT 2023,865, Dublin
1752,Alexander WALLACE,,GBR,913, 24 SEP 2023,937, Berlin
1752,Alexander WALLACE,,GBR,913, 26 AUG 2023,B, Tullamore Harriers AC Stadium
1753,Antonio MARTÍNEZ,03 Jan 1986,ESP,913, 22 JAN 2023,828, Santa Pola
1754,Diego AVON,04 May 1985,ITA,913, 22 OCT 2023,893, Venezia
1755,Mathias EWENDER,1981,GER,913, 24 SEP 2023,899, Berlin
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 31 DEC 2023,880, Barcelona
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 09 JUL 2023,846, Complex Esportiu L’Hospitalet Nord
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 25 JUN 2023,755, Hamburg
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 04 JUN 2023,928, Estadio de Larrabide
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 04 JUN 2023,902, Estadio de Larrabide
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 14 MAY 2023,900, Santander
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 19 FEB 2023,862, Sevilla
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 29 JAN 2023,946, Sevilla
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 22 JAN 2023,789, Santa Pola
1756,Abel CASALI CARVAJAL,30 Dec 1990,ESP,913, 15 JAN 2023,895, Valencia
